# Matter power spectrum P(k) at redshift z=2.5
# for k=1.71228e-07 to 10.8148 h/Mpc,
# number of wavenumbers equal to 140
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.712277291965e-07       3.386738188179e-01 
       2.155629394893e-07       4.227188595804e-01 
       2.713776623641e-07       5.276204544256e-01 
       3.416442353435e-07       6.585543500982e-01 
       4.301046096669e-07       8.219807022972e-01 
       5.414696228395e-07       1.025962813470e+00 
       6.816698679072e-07       1.280564968331e+00 
       8.581715191628e-07       1.598348994626e+00 
       1.080373933152e-06       1.994994050026e+00 
       1.360110198685e-06       2.490070212345e+00 
       1.712277291965e-06       3.108004039354e+00 
       2.155629394893e-06       3.879283732260e+00 
       2.713776623641e-06       4.841963360523e+00 
       3.416442353435e-06       6.043540338930e+00 
       4.301046096669e-06       7.543298758338e+00 
       5.414696228395e-06       9.415234124893e+00 
       6.816698679072e-06       1.175170365243e+01 
       8.581715191628e-06       1.466798195759e+01 
       1.080373933152e-05       1.830794637534e+01 
       1.360110198685e-05       2.285117131145e+01 
       1.712277291965e-05       2.852177956449e+01 
       2.155629394893e-05       3.559948306362e+01 
       2.713776623641e-05       4.443334948719e+01 
       3.416442353435e-05       5.545895743576e+01 
       4.301046096669e-05       6.921975417016e+01 
       5.414696228395e-05       8.639360520609e+01 
       6.816698679072e-05       1.078257195244e+02 
       8.581715191628e-05       1.345693256815e+02 
       1.080373933152e-04       1.679356186584e+02 
       1.360110198685e-04       2.095544923563e+02 
       1.712277291965e-04       2.614472223826e+02 
       2.155629394893e-04       3.261112016826e+02 
       2.713776623641e-04       4.066144402385e+02 
       3.416442353435e-04       5.066929288125e+02 
       4.301046096669e-04       6.308362718015e+02 
       5.414696228395e-04       7.843365548887e+02 
       6.816698679072e-04       9.732662040669e+02 
       8.581715191628e-04       1.204350682514e+03 
       1.080373933152e-03       1.484707019409e+03 
       1.360110198685e-03       1.821367779934e+03 
       1.712277291965e-03       2.220340223635e+03 
       2.155629394893e-03       2.684993635212e+03 
       2.713776623641e-03       3.214037913709e+03 
       3.416442353435e-03       3.799012641604e+03 
       4.301046096669e-03       4.421221542130e+03 
       5.414696228395e-03       5.046623855806e+03 
       6.816698679072e-03       5.630858958415e+03 
       8.581715191628e-03       6.107366160206e+03 
       1.080373933152e-02       6.395221041660e+03 
       1.360110198680e-02       6.406178899555e+03 
       1.712277265615e-02       6.068884453631e+03 
       2.155612450671e-02       5.378182796113e+03 
       2.711732372575e-02       4.460495952100e+03 
       3.356417941074e-02       3.623053496747e+03 
       3.881557865572e-02       3.166515480314e+03 
       4.266122437710e-02       2.929890372401e+03 
       4.586207218475e-02       2.771520058160e+03 
       4.873405132420e-02       2.644572496970e+03 
       5.142034297072e-02       2.529793584504e+03 
       5.399770097013e-02       2.417979603752e+03 
       5.651256853343e-02       2.304724189650e+03 
       5.899566267744e-02       2.188419865998e+03 
       6.146875002245e-02       2.069302181601e+03 
       6.394814344982e-02       1.948860864457e+03 
       6.644665731722e-02       1.829382943769e+03 
       6.897477177324e-02       1.713544506417e+03 
       7.154136200656e-02       1.604036949520e+03 
       7.415417420867e-02       1.503235143130e+03 
       7.682014695320e-02       1.412926004573e+03 
       7.954563437547e-02       1.334111518059e+03 
       8.233656477542e-02       1.266891220561e+03 
       8.519855544882e-02       1.210424922667e+03 
       8.813699704548e-02       1.162978675365e+03 
       9.115711620869e-02       1.122061931027e+03 
       9.426402241883e-02       1.084675155674e+03 
       9.746274315975e-02       1.047679155047e+03 
       1.007582503531e-01       1.008270846875e+03 
       1.041554802342e-01       9.644961880360e+02 
       1.076593483283e-01       9.156780622237e+02 
       1.112747608470e-01       8.626100488550e+02 
