# Matter power spectrum P(k) at redshift z=0
# for k=2.29053e-07 to 11.4916 h/Mpc,
# number of wavenumbers equal to 139
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.290527870989e-07       1.452174060539e+00 
       2.883603743211e-07       1.800315724026e+00 
       3.630242029873e-07       2.231920258804e+00 
       4.570203942371e-07       2.766996906400e+00 
       5.753545880132e-07       3.430351887944e+00 
       7.243285116422e-07       4.252738422555e+00 
       9.118755697934e-07       5.272282448671e+00 
       1.147983327207e-06       6.536250143062e+00 
       1.445225382937e-06       8.103239178605e+00 
       1.819430960350e-06       1.004589530434e+01 
       2.290527870989e-06       1.245428017850e+01 
       2.883603743211e-06       1.544004657606e+01 
       3.630242029873e-06       1.914161450153e+01 
       4.570203942371e-06       2.373058811373e+01 
       5.753545880132e-06       2.941971083589e+01 
       7.243285116422e-06       3.647272722394e+01 
       9.118755697934e-06       4.521660834496e+01 
       1.147983327207e-05       5.605670654682e+01 
       1.445225382937e-05       6.949554048905e+01 
       1.819430960350e-05       8.615607789663e+01 
       2.290527870989e-05       1.068105887773e+02 
       2.883603743211e-05       1.324163936701e+02 
       3.630242029873e-05       1.641601385350e+02 
       4.570203942371e-05       2.035125985560e+02 
       5.753545880132e-05       2.522964530074e+02 
       7.243285116422e-05       3.127699804958e+02 
       9.118755697934e-05       3.877301791528e+02 
       1.147983327207e-04       4.806393637174e+02 
       1.445225382937e-04       5.957797053861e+02 
       1.819430960350e-04       7.384402084805e+02 
       2.290527870989e-04       9.151398036841e+02 
       2.883603743211e-04       1.133887851572e+03 
       3.630242029873e-04       1.404478455969e+03 
       4.570203942371e-04       1.738806914122e+03 
       5.753545880132e-04       2.151185971243e+03 
       7.243285116422e-04       2.658627763263e+03 
       9.118755697934e-04       3.281037124997e+03 
       1.147983327207e-03       4.041195332222e+03 
       1.445225382937e-03       4.964271820662e+03 
       1.819430960350e-03       6.076549038366e+03 
       2.290527870989e-03       7.403102589214e+03 
       2.883603743211e-03       8.963912571453e+03 
       3.630242029873e-03       1.076807028066e+04 
       4.570203942371e-03       1.280593482780e+04 
       5.753545880132e-03       1.503890981872e+04 
       7.243285116422e-03       1.738740935617e+04 
       9.118755697934e-03       1.971845674396e+04 
       1.147983327207e-02       2.183454848992e+04 
       1.445225382937e-02       2.346955480414e+04 
