# Matter power spectrum P(k) at redshift z=2.5
# for k=7.90667e-06 to 12.544 h/Mpc,
# number of wavenumbers equal to 124
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.906674783403e-06       1.874410329135e+01 
       9.953913807619e-06       2.339554402777e+01 
       1.253123503922e-05       2.920120682304e+01 
       1.577589023204e-05       3.644744254565e+01 
       1.986066910679e-05       4.549158762499e+01 
       2.500310103377e-05       5.677951617814e+01 
       3.147703926507e-05       7.086744135928e+01 
       3.962724461885e-05       8.844903433446e+01 
       4.988774525005e-05       1.103889517298e+02 
       6.280495023240e-05       1.377641552166e+02 
       7.906674783403e-05       1.719143911891e+02 
       9.953913807619e-05       2.145030599786e+02 
       1.253123503922e-04       2.675890684825e+02 
       1.577589023204e-04       3.337084836536e+02 
       1.986066910679e-04       4.159612357752e+02 
       2.500310103377e-04       5.180910049431e+02 
       3.147703926507e-04       6.445342359913e+02 
       3.962724461884e-04       8.003960097184e+02 
       4.988774525005e-04       9.912910673820e+02 
       6.280495023240e-04       1.222984894270e+03 
       7.906674783403e-04       1.500812222130e+03 
       9.953913807619e-04       1.828921279317e+03 
       1.253123503922e-03       2.209292695092e+03 
       1.577589023204e-03       2.640071492409e+03 
       1.986066910679e-03       3.113124589023e+03 
       2.500310103377e-03       3.612211173081e+03 
       3.147703926507e-03       4.111844559624e+03 
       3.962724461885e-03       4.576655219926e+03 
       4.988774525005e-03       4.962917744007e+03 
       6.280495023240e-03       5.221787846364e+03 
       7.906674783403e-03       5.302721352359e+03 
       9.953913807619e-03       5.159926870836e+03 
       1.253123503922e-02       4.758021464870e+03 
       1.577589023198e-02       4.086637636032e+03 
       1.986066881626e-02       3.188663593938e+03 
       2.500291175902e-02       2.198077523440e+03 
       3.145396022973e-02       1.341875156817e+03 
       3.894291894359e-02       8.414025180357e+02 
       4.505934563755e-02       6.833453638083e+02 
       4.953471798373e-02       6.419778377257e+02 
       5.325702515636e-02       6.281918707644e+02 
       5.659561032660e-02       6.182500495850e+02 
       5.971764060358e-02       6.033497265640e+02 
       6.271263749726e-02       5.799692837235e+02 
       6.563473070046e-02       5.473637630265e+02 
       6.851970143356e-02       5.065929519712e+02 
       7.139289388311e-02       4.599191173660e+02 
       7.427329528523e-02       4.102756141374e+02 
       7.717581623756e-02       3.607818010580e+02 
       8.011264806950e-02       3.142877416478e+02 
       8.309411273618e-02       2.730553860880e+02 
       8.612921737730e-02       2.385811120092e+02 
       8.922602868450e-02       2.115612839287e+02 
       9.239193283161e-02       1.919802005613e+02 
       9.563382016730e-02       1.792874223161e+02 
       9.895821892018e-02       1.724987001168e+02 
       1.023713934136e-01       1.702560047681e+02 
       1.058794169893e-01       1.708636895342e+02 
       1.094882265406e-01       1.723381903574e+02 
       1.132036634495e-01       1.725838435503e+02 
       1.170315043601e-01       1.697262759112e+02 
       1.209774843157e-01       1.625969189248e+02 
       1.250473141932e-01       1.510586214373e+02 
       1.292466939666e-01       1.361553826433e+02 
       1.335813230704e-01       1.197675182373e+02 
       1.380569089562e-01       1.040544584465e+02 
       1.426791748252e-01       9.082669713487e+01 
       1.474538674484e-01       8.113409844658e+01 
       1.523867659386e-01       7.517188283159e+01 
       1.574836923131e-01       7.238205282415e+01 
       1.627505246662e-01       7.159469801258e+01 
       1.681932137615e-01       7.126753244924e+01 
       1.738178038415e-01       6.984027220829e+01 
       1.796304584533e-01       6.632314988403e+01 
       1.856374920895e-01       6.078058145553e+01 
       1.918454084582e-01       5.418909131710e+01 
       1.982609462280e-01       4.794233668897e+01 
       2.048911331511e-01       4.310040139184e+01 
       2.117433495604e-01       3.993466562104e+01 
       2.188254023826e-01       3.807159336004e+01 
       2.261456110142e-01       3.679612810474e+01 
       2.337129067032e-01       3.525612576318e+01 
       2.415369474774e-01       3.291131211109e+01 
       2.496282512052e-01       2.996593833361e+01 
       2.579983500888e-01       2.707387434036e+01 
       2.666599708470e-01       2.474958948032e+01 
       2.756272461015e-01       2.312516055064e+01 
       2.849159641508e-01       2.187774091808e+01 
       2.945438665389e-01       2.055540034221e+01 
       3.045310058148e-01       1.901703422478e+01 
       3.149001799353e-01       1.738709256945e+01 
       3.256774653328e-01       1.596060422608e+01 
       3.368928784282e-01       1.482485576696e+01 
       3.485812063233e-01       1.381784393764e+01 
       3.607830631308e-01       1.277975268888e+01 
