# Matter power spectrum P(k) at redshift z=0
# for k=9.9996e-06 to 14.1755 h/Mpc,
# number of wavenumbers equal to 71
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       9.999598222727e-06       1.188930664466e+02 
       1.258874831032e-05       1.459478945182e+02 
       1.584829515055e-05       1.791590772924e+02 
       1.995182149864e-05       2.199272403034e+02 
       2.511785509621e-05       2.699716736171e+02 
       3.162150607039e-05       3.314024713781e+02 
       3.980911755122e-05       4.068090654916e+02 
       5.011670970633e-05       4.993687195421e+02 
       6.309319940481e-05       6.129787496323e+02 
       7.942963204211e-05       7.524177267360e+02 
       9.999598222727e-05       9.235407386784e+02 
       1.258874831032e-04       1.133514215975e+03 
       1.417554275015e-04       1.259746074504e+03 
       1.584829515055e-04       1.391095035219e+03 
       1.995182149864e-04       1.706955916317e+03 
       2.511785509621e-04       2.094053556545e+03 
       3.162150607039e-04       2.568025490989e+03 
       3.980911755122e-04       3.147585865860e+03 
       5.011670970633e-04       3.854871095414e+03 
       6.309319940481e-04       4.715668375306e+03 
       7.942963204211e-04       5.759431278765e+03 
       9.999598222727e-04       7.018876913270e+03 
       1.258874831032e-03       8.528713743514e+03 
       1.584829515055e-03       1.032280773055e+04 
       1.995182149864e-03       1.243012434639e+04 
       2.511785509621e-03       1.486767445043e+04 
       3.162150607039e-03       1.763091554988e+04 
       3.980911755122e-03       2.068176282313e+04 
       5.011670970633e-03       2.393302399640e+04 
       6.309319940481e-03       2.723145617278e+04 
       7.942963204211e-03       3.034352737238e+04 
       9.999598222727e-03       3.293920598555e+04 
       1.258874831032e-02       3.458838151681e+04 
       1.417554275015e-02       3.490902843746e+04 
       1.584829515051e-02       3.480242383568e+04 
       1.995182127510e-02       3.314875114799e+04 
       2.511769913831e-02       2.951430117096e+04 
       3.160139875916e-02       2.448940776639e+04 
       3.918165174305e-02       1.972391099244e+04 
       4.546061644280e-02       1.705862245991e+04 
       5.003564874228e-02       1.571136953135e+04 
       5.382635315513e-02       1.484356685470e+04 
       5.721941276224e-02       1.417454868819e+04 
       6.038863473116e-02       1.358770985236e+04 
       6.342660393853e-02       1.302371317000e+04 
       6.638908988691e-02       1.245233826833e+04 
       6.931285211245e-02       1.185999397492e+04 
       7.222386842248e-02       1.124410565062e+04 
       7.514156404808e-02       1.060854536621e+04 
       7.808116909585e-02       9.964465558431e+03 
       8.105511892554e-02       9.326150988136e+03 
       8.407392949963e-02       8.709090559621e+03 
       8.714676776418e-02       8.128758093773e+03 
       9.028183625830e-02       7.598689466034e+03 
       9.348663990421e-02       7.128397260520e+03 
       9.676817542842e-02       6.722795855519e+03 
       1.001330684058e-01       6.381756466672e+03 
       1.035876738804e-01       6.099792751481e+03 
       1.071381510503e-01       5.866149857930e+03 
       1.107905191071e-01       5.665808261526e+03 
       1.145506991497e-01       5.481156041992e+03 
       1.184245456914e-01       5.294006976153e+03 
       1.224178703479e-01       5.088393638062e+03 
       1.265364596839e-01       4.853978599209e+03 
       1.307860887830e-01       4.588163801358e+03 
       1.351725318340e-01       4.297875072159e+03 
       1.397015708498e-01       3.997230117220e+03 
       1.417554275015e-01       3.865428286226e+03 
       1.443790035157e-01       3.704593509260e+03 
       1.417554275015e+00       2.750948195608e+01 
       1.417554275015e+01       6.790903255538e-02 
